BusID: 1
Time                 |StopName  |DriverID  |PassengersCount  |BusLoad
2024-12-17 17:49:00  |Stop J    |5         |67               |67%
2024-12-17 17:58:00  |Stop A    |5         |67               |67%
2024-12-18 09:02:00  |Stop B    |4         |75               |75%
2024-12-18 09:11:00  |Stop C    |4         |93               |93%
2024-12-18 09:19:00  |Stop D    |4         |67               |67%
2024-12-18 09:31:00  |Stop E    |4         |92               |92%
2024-12-18 09:41:00  |Stop F    |4         |88               |88%
2024-12-18 09:49:00  |Stop G    |4         |97               |97%
2024-12-18 09:55:00  |Stop H    |4         |71               |71%
2024-12-18 10:02:00  |Stop I    |4         |95               |95%
2024-12-18 10:13:00  |Stop J    |4         |82               |82%
2024-12-18 10:22:00  |Stop A    |4         |92               |92%
2024-12-18 10:29:00  |Stop B    |4         |74               |74%
2024-12-18 10:38:00  |Stop C    |4         |60               |60%
2024-12-18 10:46:00  |Stop D    |4         |43               |43%
2024-12-18 10:58:00  |Stop E    |4         |36               |36%
2024-12-18 11:08:00  |Stop F    |4         |38               |38%
2024-12-18 11:16:00  |Stop G    |4         |42               |42%
2024-12-18 11:22:00  |Stop H    |4         |36               |36%
2024-12-18 11:29:00  |Stop I    |4         |38               |38%
2024-12-18 11:40:00  |Stop J    |4         |46               |46%
2024-12-18 11:49:00  |Stop A    |4         |42               |42%
2024-12-18 11:56:00  |Stop B    |4         |34               |34%
2024-12-18 12:05:00  |Stop C    |4         |28               |28%
2024-12-18 12:13:00  |Stop D    |4         |30               |30%
2024-12-18 12:25:00  |Stop E    |4         |31               |31%
2024-12-18 12:35:00  |Stop F    |4         |23               |23%
2024-12-18 12:43:00  |Stop G    |4         |22               |22%
2024-12-18 12:49:00  |Stop H    |4         |23               |23%
2024-12-18 12:56:00  |Stop I    |4         |26               |26%
2024-12-18 14:01:00  |Stop J    |4         |28               |28%
2024-12-18 14:10:00  |Stop A    |4         |30               |30%
2024-12-18 14:17:00  |Stop B    |4         |34               |34%
2024-12-18 14:26:00  |Stop C    |4         |34               |34%
2024-12-18 14:34:00  |Stop D    |4         |32               |32%
2024-12-18 14:46:00  |Stop E    |4         |27               |27%
2024-12-18 14:56:00  |Stop F    |4         |26               |26%
2024-12-18 15:04:00  |Stop G    |4         |31               |31%
2024-12-18 15:10:00  |Stop H    |4         |24               |24%
2024-12-18 15:17:00  |Stop I    |4         |21               |21%
2024-12-18 15:28:00  |Stop J    |4         |32               |32%
2024-12-18 15:37:00  |Stop A    |4         |33               |33%
2024-12-18 15:44:00  |Stop B    |4         |37               |37%
2024-12-18 15:53:00  |Stop C    |4         |37               |37%
2024-12-18 16:01:00  |Stop D    |4         |35               |35%
2024-12-18 16:13:00  |Stop E    |4         |36               |36%
2024-12-18 16:23:00  |Stop F    |4         |38               |38%
2024-12-18 16:31:00  |Stop G    |4         |39               |39%
2024-12-18 16:37:00  |Stop H    |4         |37               |37%
2024-12-18 16:44:00  |Stop I    |4         |46               |46%
2024-12-18 16:55:00  |Stop J    |4         |46               |46%
2024-12-18 17:04:00  |Stop A    |4         |47               |47%
2024-12-18 17:11:00  |Stop B    |4         |78               |78%
2024-12-18 17:20:00  |Stop C    |4         |82               |82%
2024-12-18 17:28:00  |Stop D    |4         |75               |75%
2024-12-18 17:40:00  |Stop E    |4         |82               |82%
2024-12-18 17:50:00  |Stop F    |4         |72               |72%
2024-12-18 17:58:00  |Stop G    |4         |90               |90%
2024-12-19 09:02:00  |Stop H    |4         |78               |78%
2024-12-19 09:09:00  |Stop I    |4         |83               |83%
2024-12-19 09:20:00  |Stop J    |4         |95               |95%
2024-12-19 09:29:00  |Stop A    |4         |70               |70%
2024-12-19 09:36:00  |Stop B    |4         |96               |96%
2024-12-19 09:45:00  |Stop C    |4         |90               |90%
2024-12-19 09:53:00  |Stop D    |4         |71               |71%
2024-12-19 10:05:00  |Stop E    |4         |61               |61%
2024-12-19 10:15:00  |Stop F    |4         |60               |60%
2024-12-19 10:23:00  |Stop G    |4         |48               |48%
2024-12-19 10:29:00  |Stop H    |4         |37               |37%
2024-12-19 10:36:00  |Stop I    |4         |30               |30%
2024-12-19 10:47:00  |Stop J    |4         |33               |33%
2024-12-19 10:56:00  |Stop A    |4         |30               |30%
2024-12-19 11:03:00  |Stop B    |4         |25               |25%
2024-12-19 11:12:00  |Stop C    |4         |21               |21%
2024-12-19 11:20:00  |Stop D    |4         |16               |16%
2024-12-19 11:32:00  |Stop E    |4         |15               |15%
2024-12-19 11:42:00  |Stop F    |4         |14               |14%
2024-12-19 11:50:00  |Stop G    |4         |18               |18%
2024-12-19 11:56:00  |Stop H    |4         |18               |18%
2024-12-19 12:03:00  |Stop I    |4         |21               |21%
2024-12-19 12:14:00  |Stop J    |4         |19               |19%
2024-12-19 12:23:00  |Stop A    |4         |24               |24%
2024-12-19 12:30:00  |Stop B    |4         |24               |24%
2024-12-19 12:39:00  |Stop C    |4         |30               |30%
2024-12-19 12:47:00  |Stop D    |4         |31               |31%
2024-12-19 12:59:00  |Stop E    |4         |32               |32%
2024-12-19 14:01:00  |Stop F    |5         |31               |31%
2024-12-19 14:09:00  |Stop G    |5         |33               |33%
2024-12-19 14:15:00  |Stop H    |5         |42               |42%
2024-12-19 14:22:00  |Stop I    |5         |31               |31%
2024-12-19 14:33:00  |Stop J    |5         |38               |38%
2024-12-19 14:42:00  |Stop A    |5         |37               |37%
2024-12-19 14:49:00  |Stop B    |5         |32               |32%
2024-12-19 14:58:00  |Stop C    |5         |29               |28%
2024-12-19 15:06:00  |Stop D    |5         |32               |32%
2024-12-19 15:18:00  |Stop E    |5         |31               |31%
2024-12-19 15:28:00  |Stop F    |5         |32               |32%
2024-12-19 15:36:00  |Stop G    |5         |35               |35%
2024-12-19 15:42:00  |Stop H    |5         |37               |37%
2024-12-19 15:49:00  |Stop I    |5         |45               |45%
2024-12-19 16:00:00  |Stop J    |5         |48               |48%
2024-12-19 16:09:00  |Stop A    |5         |51               |51%
2024-12-19 16:16:00  |Stop B    |5         |59               |59%
2024-12-19 16:25:00  |Stop C    |5         |53               |53%
2024-12-19 16:33:00  |Stop D    |5         |64               |64%
2024-12-19 16:45:00  |Stop E    |5         |64               |64%
2024-12-19 16:55:00  |Stop F    |5         |47               |47%
2024-12-19 17:03:00  |Stop G    |5         |48               |48%
2024-12-19 17:09:00  |Stop H    |5         |67               |67%
2024-12-19 17:16:00  |Stop I    |5         |84               |84%
2024-12-19 17:27:00  |Stop J    |5         |85               |85%
2024-12-19 17:36:00  |Stop A    |5         |84               |84%
2024-12-19 17:43:00  |Stop B    |5         |89               |89%
2024-12-19 17:52:00  |Stop C    |5         |90               |90%
2024-12-22 09:02:00  |Stop D    |4         |80               |80%
2024-12-22 09:14:00  |Stop E    |4         |80               |80%
2024-12-22 09:24:00  |Stop F    |4         |87               |87%
2024-12-22 09:32:00  |Stop G    |4         |97               |97%
2024-12-22 09:38:00  |Stop H    |4         |95               |95%
2024-12-22 09:45:00  |Stop I    |4         |76               |76%
2024-12-22 09:56:00  |Stop J    |4         |95               |95%
2024-12-22 10:05:00  |Stop A    |4         |74               |74%
2024-12-22 10:12:00  |Stop B    |4         |67               |67%
2024-12-22 10:21:00  |Stop C    |4         |78               |78%
2024-12-22 10:29:00  |Stop D    |4         |83               |83%
2024-12-22 10:41:00  |Stop E    |4         |64               |64%
2024-12-22 10:51:00  |Stop F    |4         |66               |66%
2024-12-22 10:59:00  |Stop G    |4         |69               |69%
2024-12-22 11:05:00  |Stop H    |4         |55               |55%
2024-12-22 11:12:00  |Stop I    |4         |59               |59%
2024-12-22 11:23:00  |Stop J    |4         |46               |46%
2024-12-22 11:32:00  |Stop A    |4         |58               |57%
2024-12-22 11:39:00  |Stop B    |4         |57               |56%
2024-12-22 11:48:00  |Stop C    |4         |58               |57%
2024-12-22 11:56:00  |Stop D    |4         |60               |60%
2024-12-22 12:08:00  |Stop E    |4         |63               |63%
2024-12-22 12:18:00  |Stop F    |4         |51               |51%
2024-12-22 12:26:00  |Stop G    |4         |55               |55%
2024-12-22 12:32:00  |Stop H    |4         |56               |56%
2024-12-22 12:39:00  |Stop I    |4         |40               |40%
2024-12-22 12:50:00  |Stop J    |4         |28               |28%
2024-12-22 12:59:00  |Stop A    |4         |29               |28%
2024-12-22 14:01:00  |Stop B    |3         |34               |34%
2024-12-22 14:10:00  |Stop C    |3         |27               |27%
2024-12-22 14:18:00  |Stop D    |3         |37               |37%
2024-12-22 14:30:00  |Stop E    |3         |39               |39%
2024-12-22 14:40:00  |Stop F    |3         |39               |39%
2024-12-22 14:48:00  |Stop G    |3         |50               |50%
2024-12-22 14:54:00  |Stop H    |3         |38               |38%
2024-12-22 15:01:00  |Stop I    |3         |34               |34%
2024-12-22 15:12:00  |Stop J    |3         |27               |27%
2024-12-22 15:21:00  |Stop A    |3         |27               |27%
2024-12-22 15:28:00  |Stop B    |3         |21               |21%
2024-12-22 15:37:00  |Stop C    |3         |24               |24%
2024-12-22 15:45:00  |Stop D    |3         |20               |20%
2024-12-22 15:57:00  |Stop E    |3         |20               |20%
2024-12-22 16:07:00  |Stop F    |3         |22               |22%
2024-12-22 16:15:00  |Stop G    |3         |21               |21%
2024-12-22 16:21:00  |Stop H    |3         |21               |21%
2024-12-22 16:28:00  |Stop I    |3         |19               |19%
2024-12-22 16:39:00  |Stop J    |3         |25               |25%
2024-12-22 16:48:00  |Stop A    |3         |24               |24%
2024-12-22 16:55:00  |Stop B    |3         |29               |28%
2024-12-22 17:04:00  |Stop C    |3         |43               |43%
2024-12-22 17:12:00  |Stop D    |3         |80               |80%
2024-12-22 17:24:00  |Stop E    |3         |87               |87%
2024-12-22 17:34:00  |Stop F    |3         |76               |76%
2024-12-22 17:42:00  |Stop G    |3         |100              |100%
2024-12-22 17:48:00  |Stop H    |3         |77               |77%
2024-12-22 17:55:00  |Stop I    |3         |70               |70%
------------------------------------------------------------------------
BusID: 2
Time                 |StopName  |DriverID  |PassengersCount  |BusLoad
2024-12-16 09:06:00  |Stop B    |6         |18               |12%
2024-12-16 09:15:00  |Stop C    |6         |42               |28%
2024-12-16 09:23:00  |Stop D    |6         |59               |39%
2024-12-16 09:35:00  |Stop E    |6         |85               |56%
2024-12-16 09:45:00  |Stop F    |6         |87               |57%
2024-12-16 09:53:00  |Stop G    |6         |97               |64%
2024-12-16 09:59:00  |Stop H    |6         |107              |71%
2024-12-16 10:06:00  |Stop I    |6         |109              |72%
2024-12-16 10:17:00  |Stop J    |6         |87               |57%
2024-12-16 10:26:00  |Stop A    |6         |84               |56%
2024-12-16 10:33:00  |Stop B    |6         |80               |53%
2024-12-16 10:42:00  |Stop C    |6         |79               |52%
2024-12-16 10:50:00  |Stop D    |6         |68               |45%
2024-12-16 11:02:00  |Stop E    |6         |63               |42%
2024-12-16 11:12:00  |Stop F    |6         |59               |39%
2024-12-16 11:20:00  |Stop G    |6         |59               |39%
2024-12-16 11:26:00  |Stop H    |6         |54               |36%
2024-12-16 11:33:00  |Stop I    |6         |49               |32%
2024-12-16 11:44:00  |Stop J    |6         |45               |30%
2024-12-16 11:53:00  |Stop A    |6         |39               |26%
2024-12-16 12:00:00  |Stop B    |6         |38               |25%
2024-12-16 12:09:00  |Stop C    |6         |40               |26%
2024-12-16 12:17:00  |Stop D    |6         |39               |26%
2024-12-16 12:29:00  |Stop E    |6         |33               |22%
2024-12-16 12:39:00  |Stop F    |6         |40               |26%
2024-12-16 12:47:00  |Stop G    |6         |41               |27%
2024-12-16 12:53:00  |Stop H    |6         |33               |22%
2024-12-16 13:00:00  |Stop I    |6         |38               |25%
2024-12-16 14:01:00  |Stop J    |1         |41               |27%
2024-12-16 14:10:00  |Stop A    |1         |34               |22%
2024-12-16 14:17:00  |Stop B    |1         |37               |24%
2024-12-16 14:26:00  |Stop C    |1         |36               |24%
2024-12-16 14:34:00  |Stop D    |1         |26               |17%
2024-12-16 14:46:00  |Stop E    |1         |24               |16%
2024-12-16 14:56:00  |Stop F    |1         |30               |20%
2024-12-16 15:04:00  |Stop G    |1         |29               |19%
2024-12-16 15:10:00  |Stop H    |1         |35               |23%
2024-12-16 15:17:00  |Stop I    |1         |30               |20%
2024-12-16 15:28:00  |Stop J    |1         |37               |24%
2024-12-16 15:37:00  |Stop A    |1         |34               |22%
2024-12-16 15:44:00  |Stop B    |1         |28               |18%
2024-12-16 15:53:00  |Stop C    |1         |26               |17%
2024-12-16 16:01:00  |Stop D    |1         |23               |15%
2024-12-16 16:13:00  |Stop E    |1         |25               |16%
2024-12-16 16:23:00  |Stop F    |1         |23               |15%
2024-12-16 16:31:00  |Stop G    |1         |25               |16%
2024-12-16 16:37:00  |Stop H    |1         |27               |18%
2024-12-16 16:44:00  |Stop I    |1         |24               |16%
2024-12-16 16:55:00  |Stop J    |1         |24               |16%
2024-12-16 17:04:00  |Stop A    |1         |39               |26%
2024-12-16 17:11:00  |Stop B    |1         |55               |36%
2024-12-16 17:20:00  |Stop C    |1         |75               |50%
2024-12-16 17:28:00  |Stop D    |1         |101              |67%
2024-12-16 17:40:00  |Stop E    |1         |123              |82%
2024-12-16 17:50:00  |Stop F    |1         |128              |85%
2024-12-16 17:58:00  |Stop G    |1         |123              |82%
2024-12-17 09:02:00  |Stop H    |7         |135              |90%
2024-12-17 09:09:00  |Stop I    |7         |125              |83%
2024-12-17 09:20:00  |Stop J    |7         |146              |97%
2024-12-17 09:29:00  |Stop A    |7         |131              |87%
2024-12-17 09:36:00  |Stop B    |7         |107              |71%
2024-12-17 09:45:00  |Stop C    |7         |117              |78%
2024-12-17 09:53:00  |Stop D    |7         |100              |66%
2024-12-17 10:05:00  |Stop E    |7         |85               |56%
2024-12-17 10:15:00  |Stop F    |7         |67               |44%
2024-12-17 10:23:00  |Stop G    |7         |47               |31%
2024-12-17 10:29:00  |Stop H    |7         |38               |25%
2024-12-17 10:36:00  |Stop I    |7         |28               |18%
2024-12-17 10:47:00  |Stop J    |7         |35               |23%
2024-12-17 10:56:00  |Stop A    |7         |25               |16%
2024-12-17 11:03:00  |Stop B    |7         |21               |14%
2024-12-17 11:12:00  |Stop C    |7         |19               |12%
2024-12-17 11:20:00  |Stop D    |7         |17               |11%
2024-12-17 11:32:00  |Stop E    |7         |21               |14%
2024-12-17 11:42:00  |Stop F    |7         |19               |12%
