{'level':'info','time':'2024-12-16 10:07:00','message':'Bus 6 has coming to Stop A. Passengers: +14, -19. Load: 71/90.'}
{'level':'info','time':'2024-12-16 10:09:00','message':'Bus 1 has coming to Stop I. Passengers: +3, -10. Load: 90/100.'}
{'level':'info','time':'2024-12-16 10:10:00','message':'Bus 4 has coming to Stop J. Passengers: +5, -2. Load: 77/80.'}
{'level':'info','time':'2024-12-16 10:11:00','message':'Bus 7 has coming to Stop B. Passengers: +4, -28. Load: 57/85.'}
{'level':'info','time':'2024-12-16 10:12:00','message':'Bus 5 has coming to Stop A. Passengers: +7, -31. Load: 62/110.'}
{'level':'info','time':'2024-12-16 10:13:00','message':'Bus 3 has coming to Stop J. Passengers: +3, -28. Load: 74/150.'}
{'level':'info','time':'2024-12-16 10:14:00','message':'Bus 6 has coming to Stop B. Passengers: +8, -18. Load: 61/90.'}
{'level':'info','time':'2024-12-16 10:17:00','message':'Bus 2 has coming to Stop J. Passengers: +3, -25. Load: 87/150.'}
{'level':'info','time':'2024-12-16 10:19:00','message':'Bus 4 has coming to Stop A. Passengers: +3, -18. Load: 62/80.'}
{'level':'info','time':'2024-12-16 10:19:00','message':'Bus 5 has coming to Stop B. Passengers: +13, -21. Load: 54/110.'}
{'level':'info','time':'2024-12-16 10:20:00','message':'Bus 1 has coming to Stop J. Passengers: +5, -3. Load: 92/100.'}
{'level':'info','time':'2024-12-16 10:20:00','message':'Bus 7 has coming to Stop C. Passengers: +9, -7. Load: 59/85.'}
{'level':'info','time':'2024-12-16 10:22:00','message':'Bus 3 has coming to Stop A. Passengers: +5, -22. Load: 57/150.'}
{'level':'info','time':'2024-12-16 10:23:00','message':'Bus 6 has coming to Stop C. Passengers: +10, -13. Load: 58/90.'}
{'level':'info','time':'2024-12-16 10:26:00','message':'Bus 2 has coming to Stop A. Passengers: +0, -3. Load: 84/150.'}
